rgl1,rgu1,rbl1,rbu1,rgq1,rbq1,rgl2,rgu2,rbl2,rbu2,rgq2,rbq2,h,w,h/w,label
1.3982242193927077,1.2140303574889282,1.627118220329954,1.3525209852537876,1.1517209687282959,1.2030262288497067,1.209691359281641,1.2140303574889282,1.1099735634552312,1.3525209852537876,0.9964259557592432,0.8206701230938427,1717,987,1.739614994934144,Incorrect_Mask
1.2751481785587424,1.1611267512245795,1.647613076632329,1.4074189419709502,1.0981989496098599,1.1706628548888298,1.0848004567908711,1.1611267512245795,1.1516030266189552,1.4074189419709502,0.9342653208590612,0.8182375497989601,265,181,1.4640883977900552,Incorrect_Mask
1.3086785902170357,1.2192642601884314,1.4155614370641298,1.3078108283462009,1.0733346600471876,1.082390057019321,1.2667493564765175,1.2192642601884314,1.5326205118121803,1.3078108283462009,1.0389456968752184,1.1718977076755541,265,199,1.3316582914572865,Incorrect_Mask
1.3552712871321704,1.3257831192015523,1.7333632237630339,1.7179243227899548,1.0222420752712382,1.008986950570678,1.294787088471898,1.3257831192015523,1.5233175359609492,1.7179243227899548,0.9766205872734889,0.8867198139945076,1241,1074,1.1554934823091247,Incorrect_Mask
1.5400906252432163,1.3271642318113261,1.4634284145071523,1.5161485755601913,1.1604371096870854,0.9652275760417742,1.8207907898442943,1.3271642318113261,1.5351756748491487,1.5161485755601913,1.3719408240525455,1.0125496271247212,300,200,1.5,Incorrect_Mask
1.4489699110725376,1.4392982318420033,1.824340343238374,1.8924024858069237,1.006719718691071,0.9640340027668438,1.1749793232759886,1.4392982318420033,1.2069525603194242,1.8924024858069237,0.816355705358061,0.6377885092476918,1325,1060,1.25,Incorrect_Mask
1.393112173708401,1.3093522055767197,1.5331713394539128,1.48346311861018,1.0639705403748017,1.0335082282937396,0.6518638418607178,1.3093522055767197,0.4809534025316179,1.48346311861018,0.49785217383400415,0.32420988192966416,1573,1080,1.4564814814814815,Incorrect_Mask
1.4131784005745436,1.3487836703779448,1.6432034341770436,1.6365245419256989,1.047742815701909,1.0040811439610222,0.888155709058453,1.3487836703779448,0.5929390705484012,1.6365245419256989,0.6584864041314954,0.36231602726268297,1593,1068,1.4915730337078652,Incorrect_Mask
1.2375984884687923,1.1759219503806635,1.5628971812080537,1.5984383580733157,1.0524495167967254,0.9777650625776387,1.146134993863781,1.1759219503806635,1.3416679408733543,1.5984383580733157,0.974669274174838,0.839361702061842,236,171,1.3801169590643274,Incorrect_Mask
1.5124180159466138,1.5849402608420349,2.024637723269974,2.2877325089223444,0.9542429158453631,0.8849975752732109,1.4311370450272995,1.5849402608420349,2.112861893816965,2.2877325089223444,0.9029596132960721,0.9235615989092388,273,185,1.4756756756756757,Incorrect_Mask
1.6412262831690347,1.3991517755500422,2.1227723280776543,1.638356894805654,1.1730151880941058,1.2956714955134747,1.2161114317704447,1.3991517755500422,1.2676215538903806,1.638356894805654,0.8691776353515045,0.7737151519972998,268,209,1.2822966507177034,Incorrect_Mask
1.3034084655077525,1.4284937705688763,1.7747287358057466,2.3707632123160014,0.9124355263997332,0.7485896215134923,1.6408323724045744,1.4284937705688763,2.9622859378073225,2.3707632123160014,1.1486451017221708,1.2495072989231437,258,206,1.2524271844660195,Incorrect_Mask
1.49457610031486,1.4421784164277511,1.846704360328529,1.8355894710898628,1.0363323173403864,1.0060552151849438,1.4032334490161897,1.4421784164277511,1.657778558856915,1.8355894710898628,0.9729957355012792,0.9031314381383031,1165,909,1.2816281628162816,Incorrect_Mask
1.340541125285601,1.3848324783909318,1.6114147434274508,1.7588134077663067,0.9680168151769563,0.9161942570553563,1.0309156424354127,1.3848324783909318,1.1126951732105583,1.7588134077663067,0.7444334665180996,0.6326396923615003,837,562,1.48932384341637,Incorrect_Mask
1.2660635109021,1.2458068558666162,1.3254221786621323,1.3470317452515796,1.016259868004493,0.9839576411872821,1.2892924240601293,1.2458068558666162,1.615162445755953,1.3470317452515796,1.034905545742292,1.1990529929599363,683,548,1.2463503649635037,Incorrect_Mask
1.2073451215081918,1.30343557043743,1.2694659526943817,1.4646751564725076,0.926279095715494,0.8667218441471598,1.7878506259525369,1.30343557043743,1.9178630202944476,1.4646751564725076,1.3716448027826478,1.309411859564402,766,571,1.341506129597198,Incorrect_Mask
1.4822614896691984,1.340111452886403,1.7382878616833475,1.509730807520155,1.1060732944835483,1.1513892761707727,1.6789952749708685,1.340111452886403,2.4183888158714395,1.509730807520155,1.2528773419214942,1.601867567267719,282,211,1.3364928909952607,Incorrect_Mask
1.6513190383252236,1.4073279128394836,2.1262715784284927,1.65380326877804,1.173371908039153,1.285685920792471,1.49609661781272,1.4073279128394836,2.0467615551991565,1.65380326877804,1.0630760636262326,1.23760884613045,272,207,1.3140096618357489,Incorrect_Mask
1.3012970793508951,1.3609091437878083,1.7092941035050877,2.133745680291053,0.9561968815412649,0.801076772781999,1.3948174004051919,1.3609091437878083,2.363547015762288,2.133745680291053,1.0249158856578824,1.1076985592021862,239,175,1.3657142857142857,Incorrect_Mask
1.622915877483774,1.5645973048238124,2.2807665954308916,2.1471965398198485,1.0372738547357583,1.0622067207793888,2.284007672391842,1.5645973048238124,5.213577507572993,2.1471965398198485,1.4598054498432373,2.428085836991157,265,196,1.3520408163265305,Incorrect_Mask
1.2969547506870829,1.1836981080705367,1.5598457079784438,1.2953557999003908,1.0956803443752714,1.2041832121324438,1.119726166190732,1.1836981080705367,1.4197633218366832,1.2953557999003908,0.9459558637091338,1.0960411972879258,280,171,1.6374269005847952,Incorrect_Mask
