rgl,rgu,rbl,rbu,rgq,rbq,label
1.3220672210315185,1.2140303574889282,1.3880280084408072,1.3525209852537876,1.088990248782618,1.026252474877761,With_Mask
1.1177258750055088,1.2085541577759338,1.1738521513857754,1.3877173885230552,0.9248455005627769,0.8458870380193938,With_Mask
1.1997847707080211,1.3349061960451132,1.1235755828389316,1.6825826725318183,0.898778336831897,0.6677684259925625,With_Mask
1.3169897297139626,1.492594420611945,1.4125214556267267,1.9020612443556548,0.8823493586248388,0.7426266950227645,With_Mask
1.1262699742774787,1.4050240462213637,1.1442379462201728,1.6777960194182184,0.8016019208400318,0.6819887119632941,With_Mask
1.161521578936527,1.2341205933955157,1.1774098413725138,1.2718106300116345,0.9411734843033107,0.925774493142696,With_Mask
1.2111378332796412,1.1582465163780458,1.1812490199186083,1.3111543460430224,1.0456649911341775,0.9009229336603582,With_Mask
1.1774341663622374,1.3704004997416521,1.3440041863513041,1.6814384023771871,0.8591898255905535,0.7993181221810893,With_Mask
1.120257797464744,1.4089349685757129,1.1504712969679634,1.8769783194036518,0.7951096554848153,0.6129379785982226,With_Mask
1.155383857070858,1.3354370845630203,1.3598845773030563,1.6100446059329774,0.8651728115285348,0.8446254049682307,With_Mask
1.346472313654106,1.1537317046442106,1.3043754886366699,1.2453184581790333,1.167058431552189,1.0474232354541606,With_Mask
1.1451916993407714,1.1611267512245795,1.2884355976709545,1.4074189419709502,0.9862762167291363,0.915459895592018,With_Mask
1.1103574256914293,1.5728884951094935,1.1579562761173816,1.9912966163565056,0.7059352453424449,0.5815086846459395,With_Mask
1.1145923558921482,1.5509614605694844,1.2116856699852507,2.112154419318733,0.7186460684090051,0.5736728616537777,With_Mask
1.284193879191984,1.2192642601884314,1.4801775450141996,1.3078108283462009,1.0532531142949422,1.1317978968609443,With_Mask
1.3205920209974438,1.3257831192015523,1.6086222121561078,1.7179243227899548,0.9960845042232587,0.9363754798835741,With_Mask
1.5120682905272087,1.4216038631548142,0.9916328269673612,1.7009491216642156,1.0636354681617397,0.5829879414600853,With_Mask
1.2590202514846258,1.326687390402606,1.5970712135106002,1.6179133392169105,0.9489954156438878,0.9871178973551216,With_Mask
1.3468717327609192,1.2418572989450103,1.6396145665552995,1.414493937373959,1.0845624001285183,1.1591527706363183,With_Mask
0.9770726148633224,1.3541909086716626,0.9448365546390604,1.448242483254595,0.7215176299047387,0.6524021809633395,With_Mask
1.4500402995322506,1.519072731868267,1.9133077693567948,1.5212623386964919,0.9545562033418141,1.2577106003927179,With_Mask
